Playlist Name,Track Name,Artists
Hot Hits Korea,APT.,"ROSÉ, Bruno Mars"
Hot Hits Korea,Whiplash,aespa
Hot Hits Korea,POWER,G-DRAGON
Hot Hits Korea,Igloo,KISS OF LIFE
Hot Hits Korea,Mantra,JENNIE
Hot Hits Korea,DRIP,BABYMONSTER
Hot Hits Korea,Running Wild,Jin
Hot Hits Korea,UP - KARINA Solo,aespa
Hot Hits Korea,My Name is Malguem,QWER
Hot Hits Korea,I'll Be There,Jin
Hot Hits Korea,Cherish (My Love),ILLIT
Hot Hits Korea,HAPPY,DAY6
Hot Hits Korea,"LOVE, MONEY, FAME (feat. DJ Khaled)","SEVENTEEN, DJ Khaled"
Hot Hits Korea,Here With Me,d4vd
Hot Hits Korea,CRAZY,LE SSERAFIM
Hot Hits Korea,녹아내려요 Melt Down,DAY6
Hot Hits Korea,MEOW,MEOVV
Hot Hits Korea,Supernova,aespa
Hot Hits Korea,Touch,KATSEYE
Hot Hits Korea,Supersonic,fromis_9
Hot Hits Korea,Moonlit Floor (Kiss Me),LISA
Hot Hits Korea,Supernatural,NewJeans
Hot Hits Korea,Sticky,KISS OF LIFE
Hot Hits Korea,NEMONEMO,YENA
Hot Hits Korea,Die With A Smile,"Lady Gaga, Bruno Mars"
Hot Hits Korea,Who,Jimin
Hot Hits Korea,Small girl (feat. D.O.),"Lee Young Ji, D.O."
Hot Hits Korea,Espresso,Sabrina Carpenter
Hot Hits Korea,New Woman (feat. ROSALÍA),"LISA, ROSALÍA"
Hot Hits Korea,별별별 (See that?),NMIXX
Hot Hits Korea,Klaxon,(G)I-DLE
Hot Hits Korea,SPOT!,"ZICO, JENNIE"
Hot Hits Korea,Cosmic,Red Velvet
Hot Hits Korea,BIRDS OF A FEATHER,Billie Eilish
Hot Hits Korea,Smeraldo Garden Marching Band (feat. Loco),"Jimin, Loco"
Hot Hits Korea,"If I’m S, Can You Be My N?",TWS
Hot Hits Korea,How Sweet,NewJeans
Hot Hits Korea,Sudden Shower,ECLIPSE
Hot Hits Korea,Magnetic,ILLIT
Hot Hits Korea,Armageddon,aespa
Hot Hits Korea,Bubble Gum,NewJeans
Hot Hits Korea,해야 (HEYA),IVE
Hot Hits Korea,Letter To Myself,TAEYEON
Hot Hits Korea,Smart,LE SSERAFIM
Hot Hits Korea,T.B.H,QWER
Hot Hits Korea,Girls Never Die,tripleS
Hot Hits Korea,Welcome to the Show,DAY6
Hot Hits Korea,Tick-Tack,ILLIT
Hot Hits Korea,I`m Firefly,Hwang Karam
Hot Hits Korea,Seven (feat. Latto),"Jung Kook, Latto"
Today’s Top Hits,Taste,Sabrina Carpenter
Today’s Top Hits,Die With A Smile,"Lady Gaga, Bruno Mars"
Today’s Top Hits,That’s So True,Gracie Abrams
Today’s Top Hits,APT.,"ROSÉ, Bruno Mars"
Today’s Top Hits,BIRDS OF A FEATHER,Billie Eilish
Today’s Top Hits,"Good Luck, Babe!",Chappell Roan
Today’s Top Hits,Diet Pepsi,Addison Rae
